0.018	0	0
221	1.85184	-246.4154558	0
222	1.85188	-246.38212268	0
223	1.85192	-246.34878884	0
224	1.85196	-246.31545428	0
225	1.852	-246.282119	0
226	1.85212	-246.248783	0
227	1.85224	-246.21544484	0
228	1.85236	-246.18210452	0
229	1.85248	-246.14876204	0
230	1.8526	-246.1154174	0
231	1.85272	-246.0820706	0
232	1.85284	-246.04872164	0
233	1.85296	-246.01537052	0
234	1.85308	-245.98201724	0
235	1.8532	-245.9486618	0
236	1.85332	-245.9153042	0
237	1.85344	-245.88194444	0
238	1.85356	-245.84858252	0
239	1.85368	-245.81521844	0
240	1.8538	-245.7818522	0
241	1.85392	-245.7484838	0
242	1.85404	-245.71511324	0
243	1.85416	-245.68174052	0
244	1.85428	-245.64836564	0
245	1.8544	-245.6149886	0
246	1.85452	-245.5816094	0
247	1.85464	-245.54822804	0
248	1.85476	-245.51484452	0
249	1.85488	-245.48145884	0
250	1.855	-245.448071	0
251	1.85517391304348	-245.414681	0
252	1.85534782608696	-245.381287869565	0
253	1.85552173913043	-245.347891608695	0
254	1.85569565217391	-245.314492217391	0
255	1.85586956521739	-245.281089695652	0
256	1.85604347826087	-245.247684043478	0
257	1.85621739130435	-245.214275260869	0
258	1.85639130434783	-245.180863347826	0
259	1.8565652173913	-245.147448304348	0
260	1.85673913043478	-245.114030130435	0
261	1.85691304347826	-245.080608826087	0
262	1.85708695652174	-245.047184391304	0
263	1.85726086956522	-245.013756826087	0
264	1.8574347826087	-244.980326130435	0
265	1.85760869565217	-244.946892304348	0
266	1.85778260869565	-244.913455347826	0
267	1.85795652173913	-244.880015260869	0
268	1.85813043478261	-244.846572043478	0
269	1.85830434782609	-244.813125695652	0
270	1.85847826086957	-244.779676217391	0
271	1.85865217391304	-244.746223608695	0
272	1.85882608695652	-244.712767869565	0
273	1.859	-244.679309	1.33039122137405
274	1.859	-244.645847	1.33039122137405
275	1.859	-244.612385	1.33039122137405
276	1.859	-244.578923	1.33039122137405
277	1.859	-244.545461	1.33039122137405
278	1.86	-244.511999	1.33015494636472
279	1.86	-244.478519	1.33015494636472
280	1.86	-244.445039	1.33015494636472
281	1.86	-244.411559	1.33015494636472
282	1.86	-244.378079	1.33015494636472
283	1.861	-244.344599	1.32991900905193
284	1.861	-244.311101	1.32991900905193
285	1.861	-244.277603	1.32991900905193
286	1.861	-244.244105	1.32991900905193
287	1.861	-244.210607	1.32991900905193
288	1.862	-244.177109	1.32968340871221
289	1.862	-244.143593	1.32968340871221
290	1.862	-244.110077	1.32968340871221
291	1.862	-244.076561	1.32968340871221
292	1.862	-244.043045	1.32968340871221
293	1.863	-244.009529	1.32944814462417
294	1.863	-243.975995	1.32944814462417
295	1.863	-243.942461	1.32944814462417
296	1.863	-243.908927	1.32944814462417
297	1.863	-243.875393	1.32944814462417
298	1.864	-243.841859	1.32921321606846
299	1.864	-243.808307	1.32921321606846
300	1.864	-243.774755	1.32921321606846
301	1.864	-243.741203	1.32921321606846
302	1.865	-243.707651	1.32897862232779
303	1.865	-243.674081	1.32897862232779
304	1.865	-243.640511	1.32897862232779
305	1.865	-243.606941	1.32897862232779
306	1.866	-243.573371	1.32874436268692
307	1.866	-243.539783	1.32874436268692
308	1.866	-243.506195	1.32874436268692
309	1.867	-243.472607	1.32851043643264
310	1.867	-243.439001	1.32851043643264
311	1.867	-243.405395	1.32851043643264
312	1.867	-243.371789	1.32851043643264
313	1.868	-243.338183	1.32827684285376
314	1.868	-243.304559	1.32827684285376
315	1.868	-243.270935	1.32827684285376
316	1.868	-243.237311	1.32827684285376
317	1.869	-243.203687	1.32804358124112
318	1.869	-243.170045	1.32804358124112
319	1.869	-243.136403	1.32804358124112
320	1.87	-243.102761	1.32781065088757
321	1.87	-243.069101	1.32781065088757
322	1.87	-243.035441	1.32781065088757
323	1.87	-243.001781	1.32781065088757
324	1.871	-242.968121	1.32757805108799
325	1.871	-242.934443	1.32757805108799
326	1.871	-242.900765	1.32757805108799
327	1.872	-242.867087	1.32734578113921
328	1.872	-242.833391	1.32734578113921
329	1.872	-242.799695	1.32734578113921
330	1.873	-242.765999	1.3271138403401
331	1.873	-242.732285	1.3271138403401
332	1.874	-242.698571	1.3268822279915
333	1.874	-242.664839	1.3268822279915
334	1.874	-242.631107	1.3268822279915
335	1.875	-242.597375	1.32665094339623
336	1.875	-242.563625	1.32665094339623
337	1.875	-242.529875	1.32665094339623
338	1.876	-242.496125	1.32641998585906
339	1.876	-242.462357	1.32641998585906
340	1.876	-242.428589	1.32641998585906
341	1.877	-242.394821	1.32618935468676
342	1.877	-242.361035	1.32618935468676
343	1.877	-242.327249	1.32618935468676
344	1.878	-242.293463	1.32595904918804
345	1.878	-242.259659	1.32595904918804
346	1.879	-242.225855	1.32572906867357
347	1.879	-242.192033	1.32572906867357
348	1.879	-242.158211	1.32572906867357
349	1.88	-242.124389	1.32549941245593
350	1.88	-242.090549	1.32549941245593
351	1.88	-242.056709	1.32549941245593
352	1.881	-242.022869	1.32527007984969
353	1.881	-241.989011	1.32527007984969
354	1.882	-241.955153	1.32504107017132
355	1.882	-241.921277	1.32504107017132
356	1.882	-241.887401	1.32504107017132
357	1.883	-241.853525	1.32481238273921
358	1.883	-241.819631	1.32481238273921
359	1.884	-241.785737	1.32458401687368
360	1.884	-241.751825	1.32458401687368
361	1.884	-241.717913	1.32458401687368
362	1.885	-241.684001	1.32435597189696
363	1.885	-241.650071	1.32435597189696
364	1.886	-241.616141	1.32412824713316
365	1.886	-241.582193	1.32412824713316
366	1.886	-241.548245	1.32412824713316
367	1.887	-241.514297	1.32390084190833
368	1.887	-241.480331	1.32390084190833
369	1.888	-241.446365	1.32367375555036
370	1.888	-241.412381	1.32367375555036
371	1.888	-241.378397	1.32367375555036
372	1.889	-241.344413	1.32344698738907
373	1.889	-241.310411	1.32344698738907
374	1.89	-241.276409	1.32322053675613
375	1.89	-241.242389	1.32322053675613
376	1.89	-241.208369	1.32322053675613
377	1.891	-241.174349	1.32299440298507
378	1.891	-241.140311	1.32299440298507
379	1.892	-241.106273	1.32276858541133
380	1.892	-241.072217	1.32276858541133
381	1.893	-241.038161	1.32254308337215
382	1.893	-241.004087	1.32254308337215
383	1.894	-240.970013	1.32231789620666
384	1.894	-240.935921	1.32231789620666
385	1.894	-240.901829	1.32231789620666
386	1.895	-240.867737	1.32209302325581
387	1.895	-240.833627	1.32209302325581
388	1.896	-240.799517	1.32186846386242
389	1.896	-240.765389	1.32186846386242
390	1.897	-240.731261	1.32164421737111
391	1.897	-240.697115	1.32164421737111
392	1.897	-240.662969	1.32164421737111
393	1.898	-240.628823	1.32142028312834
394	1.898	-240.594659	1.32142028312834
395	1.899	-240.560495	1.32119666048238
396	1.899	-240.526313	1.32119666048238
397	1.9	-240.492131	1.32097334878331
398	1.9	-240.457931	1.32097334878331
399	1.901	-240.423731	1.32075034738305
400	1.901	-240.389513	1.32075034738305
401	1.901	-240.355295	1.32075034738305
402	1.902	-240.321077	1.32052765563527
403	1.903	-240.286841	1.32030527289547
404	1.903	-240.252587	1.32030527289547
405	1.903	-240.218333	1.32030527289547
406	1.904	-240.184079	1.32008319852092
407	1.905	-240.149807	1.31986143187067
408	1.905	-240.115517	1.31986143187067
409	1.905	-240.081227	1.31986143187067
410	1.906	-240.046937	1.31963997230556
411	1.907	-240.012629	1.31941881918819
412	1.907	-239.978303	1.31941881918819
413	1.907	-239.943977	1.31941881918819
414	1.908	-239.909651	1.31919797188292
415	1.909	-239.875307	1.31897742975587
416	1.909	-239.840945	1.31897742975587
417	1.909	-239.806583	1.31897742975587
418	1.91	-239.772221	1.31875719217491
419	1.911	-239.737841	1.31853725850966
420	1.911	-239.703443	1.31853725850966
421	1.911	-239.669045	1.31853725850966
422	1.912	-239.634647	1.31831762813146
423	1.913	-239.600231	1.31809830041341
424	1.913	-239.565797	1.31809830041341
425	1.913	-239.531363	1.31809830041341
426	1.914	-239.496929	1.31787927473032
427	1.914	-239.462477	1.31787927473032
428	1.915	-239.428025	1.31766055045872
429	1.915	-239.393555	1.31766055045872
430	1.916	-239.359085	1.31744212697685
