0.032	0	0
0	0.9048	-6.12502400000001	0
1	0.9048	-6.12502400000001	0
2	0.9048	-6.12485760000001	0
3	0.9048	-6.12452480000001	0
4	0.9048	-6.12402560000001	0
5	0.9048	-6.12336000000001	0
6	0.9048	-6.12252800000001	0
7	0.9048	-6.12152960000001	0
8	0.9048	-6.12036480000001	0
9	0.9048	-6.11903360000001	0
10	0.9048	-6.11753600000001	0
11	0.9048	-6.11587200000001	0
12	0.9048	-6.11404160000001	0
13	0.9048	-6.11204480000001	0
14	0.9048	-6.10988160000001	0
15	0.9048	-6.10755200000001	0
16	0.9048	-6.10505600000001	0
17	0.9048	-6.10239360000001	0
18	0.9048	-6.09956480000001	0
19	0.9048	-6.09656960000001	0
20	0.9048	-6.09340800000001	0
21	0.9048	-6.09008000000001	0
22	0.9048	-6.08658560000001	0
23	0.9048	-6.08292480000001	0
24	0.9048	-6.07909760000001	0
25	0.9048	-6.07510400000001	0
26	0.9048	-6.07094400000001	0
27	0.9048	-6.06661760000001	0
28	0.9048	-6.06212480000001	0
29	0.9048	-6.05746560000001	0
30	0.9048	-6.05264000000001	0
31	0.9048	-6.04764800000001	0
32	0.9048	-6.04248960000001	0
33	0.9048	-6.03716480000001	0
34	0.9048	-6.03167360000001	0
35	0.9048	-6.02601600000001	0
36	0.9048	-6.02019200000001	0
37	0.9048	-6.01420160000001	0
38	0.9048	-6.00804480000001	0
39	0.9048	-6.00172160000001	0
40	0.9048	-5.99523200000001	0
41	0.9048	-5.98857600000001	0
42	0.9048	-5.98175360000001	0
43	0.9048	-5.97476480000001	0
44	0.9048	-5.96760960000001	0
45	0.9048	-5.96028800000001	0
46	0.9048	-5.95280000000001	0
47	0.9048	-5.94514560000001	0
48	0.9048	-5.93732480000001	0
49	0.9048	-5.92933760000001	0
50	0.9048	-5.92118400000001	0
51	0.9048	-5.91286400000001	0
52	0.9048	-5.90437760000001	0
53	0.9048	-5.89572480000001	0
54	0.9048	-5.88690560000001	0
55	0.9048	-5.87792000000001	0
56	0.9048	-5.86876800000001	0
57	0.9048	-5.85944960000001	0
58	0.9048	-5.84996480000001	0
59	0.9048	-5.84031360000001	0
60	0.9048	-5.83049600000001	0
61	0.9048	-5.82051200000001	0
62	0.9048	-5.81036160000001	0
63	0.9048	-5.80004480000001	0
64	0.9048	-5.78956160000001	0
65	0.9048	-5.77891200000001	0
66	0.9048	-5.76809600000001	0
67	0.9048	-5.75711360000001	0
68	0.9048	-5.74596480000001	0
69	0.9048	-5.73464960000001	0
70	0.9048	-5.72316800000001	0
71	0.9048	-5.71152000000001	0
72	0.9048	-5.69970560000001	0
73	0.9048	-5.68772480000001	0
74	0.9048	-5.67557760000001	0
75	0.9048	-5.66326400000001	0
76	0.9048	-5.65078400000001	0
77	0.9048	-5.63813760000001	0
78	0.9048	-5.62532480000001	0
79	0.9048	-5.61234560000001	0
80	0.9048	-5.59920000000001	0
81	0.9048	-5.58588800000001	0
82	0.9048	-5.57240960000001	0
83	0.9048	-5.55876480000001	0
84	0.9048	-5.54495360000001	0
85	0.9048	-5.53097600000001	0
86	0.9048	-5.51683200000001	0
87	0.9048	-5.50252160000001	0
88	0.9048	-5.48804480000001	0
89	0.9048	-5.47340160000001	0
90	0.9048	-5.45859200000001	0
91	0.9048	-5.44361600000001	0
92	0.9048	-5.42847360000001	0
93	0.9048	-5.41316480000001	0
94	0.9048	-5.39768960000001	0
95	0.9048	-5.38204800000001	0
96	0.9048	-5.36624000000001	0
97	0.9048	-5.35026560000001	0
98	0.9048	-5.33412480000001	0
99	0.9048	-5.31781760000001	0
100	0.9048	-5.30134400000001	0
101	0.9048	-5.28470400000001	0
102	0.9048	-5.26789760000001	0
103	0.9048	-5.25092480000001	0
104	0.9048	-5.23378560000001	0
105	0.9048	-5.21648000000001	0
106	0.9048	-5.19900800000001	0
107	0.9048	-5.18136960000001	0
108	0.9048	-5.16356480000001	0
109	0.9048	-5.14559360000001	0
110	0.9048	-5.12745600000001	0
111	0.9048	-5.10915200000001	0
112	0.9048	-5.09068160000001	0
113	0.9048	-5.07204480000001	0
114	0.9048	-5.05324160000001	0
115	0.9048	-5.03427200000001	0
116	0.9048	-5.01513600000001	0
117	0.9048	-4.99583360000001	0
118	0.9048	-4.97636480000001	0
119	0.9048	-4.95672960000001	0
120	0.9048	-4.93692800000001	0
121	0.9048	-4.91696000000001	0
122	0.9048	-4.89682560000001	0
123	0.9048	-4.87652480000001	0
124	0.9048	-4.85605760000001	0
125	0.9048	-4.83542400000001	0
126	0.9048	-4.81462400000001	0
127	0.9048	-4.79365760000001	0
128	0.9048	-4.77252480000001	0
129	0.9048	-4.75122560000001	0
130	0.9048	-4.72976000000001	0
131	0.9048	-4.70812800000001	0
132	0.9048	-4.68632960000001	0
133	0.9048	-4.66436480000001	0
134	0.9048	-4.64223360000001	0
135	0.9048	-4.61993600000001	0
136	0.9048	-4.59747200000001	0
137	0.9048	-4.57484160000001	0
138	0.9048	-4.55204480000001	0
139	0.9048	-4.52908160000001	0
140	0.9048	-4.50595200000001	0
141	0.9048	-4.48265600000001	0
142	0.9048	-4.45919360000001	0
143	0.9048	-4.43556480000001	0
144	0.9048	-4.41176960000001	0
145	0.9048	-4.38780800000001	0
146	0.9048	-4.36368000000001	0
147	0.9048	-4.33938560000001	0
148	0.9048	-4.31492480000001	0
149	0.9048	-4.29029760000001	0
150	0.9048	-4.26550400000001	0
151	0.9048	-4.24054400000001	0
152	0.9048	-4.21541760000001	0
153	0.9048	-4.19012480000001	0
154	0.9048	-4.16466560000001	0
155	0.9048	-4.13904000000001	0
156	0.9048	-4.11324800000001	0
157	0.9048	-4.08728960000001	0
158	0.9048	-4.06116480000001	0
159	0.9048	-4.03487360000001	0
160	0.9048	-4.00841600000001	0
161	0.9048	-3.98179200000001	0
162	0.9048	-3.95500160000001	0
163	0.9048	-3.92804480000001	0
164	0.9048	-3.90092160000001	0
165	0.9048	-3.87363200000001	0
166	0.9048	-3.84617600000001	0
167	0.9048	-3.81855360000001	0
168	0.9048	-3.79076480000001	0
169	0.9048	-3.76280960000001	0
170	0.9048	-3.73468800000001	0
171	0.9048	-3.70640000000001	0
172	0.9048	-3.67794560000001	0
173	0.9048	-3.64932480000001	0
174	0.9048	-3.62053760000001	0
175	0.910	-3.59158400000001	0
176	0.91	-3.56246400000001	0
177	0.91	-3.53334400000001	0
178	0.91	-3.50422400000001	0
179	0.91	-3.47510400000001	0
180	0.91	-3.44598400000001	0
181	0.91	-3.41686400000001	0
182	0.91	-3.38774400000001	0
183	0.91	-3.35862400000001	0
184	0.91	-3.32950400000001	0
185	0.91	-3.30038400000001	0
186	0.91	-3.27126400000001	0
187	0.91	-3.24214400000001	0
188	0.91	-3.21302400000001	0
189	0.91	-3.18390400000001	0
190	0.91	-3.15478400000001	0
191	0.91	-3.12566400000001	0
192	0.91	-3.09654400000001	0
193	0.91	-3.06742400000001	0
194	0.91	-3.03830400000001	0
195	0.91	-3.00918400000001	0
196	0.91	-2.98006400000001	0
197	0.91	-2.95094400000001	0
198	0.91	-2.92182400000001	0
199	0.91	-2.89270400000001	0
200	0.910	-2.86358400000001	0
201	0.91004	-2.83446400000001	0
202	0.91008	-2.80534272000001	0
203	0.91012	-2.77622016000001	0
204	0.91016	-2.74709632000001	0
205	0.9102	-2.71797120000001	0
206	0.91024	-2.68884480000001	0
207	0.91028	-2.65971712000001	0
208	0.91032	-2.63058816000001	0
209	0.91036	-2.60145792000001	0
210	0.9104	-2.57232640000001	0
211	0.91044	-2.54319360000001	0
212	0.91048	-2.51405952000001	0
213	0.91052	-2.48492416000001	0
214	0.91056	-2.45578752000001	0
215	0.9106	-2.42664960000001	0
216	0.91064	-2.39751040000001	0
217	0.91068	-2.36836992000001	0
218	0.91072	-2.33922816000001	0
219	0.91076	-2.31008512000001	0
220	0.9108	-2.28094080000001	0
221	0.91084	-2.25179520000001	0
222	0.91088	-2.22264832000001	0
223	0.91092	-2.19350016000001	0
224	0.91096	-2.16435072000001	0
225	0.911	-2.13520000000001	0
226	0.91108	-2.10604800000001	0
227	0.91116	-2.07689344000001	0
228	0.91124	-2.04773632000001	0
229	0.91132	-2.01857664000001	0
230	0.9114	-1.98941440000001	0
231	0.91148	-1.96024960000001	0
232	0.91156	-1.93108224000001	0
233	0.91164	-1.90191232000001	0
234	0.91172	-1.87273984000001	0
235	0.9118	-1.84356480000001	0
236	0.91188	-1.81438720000001	0
237	0.91196	-1.78520704000001	0
238	0.91204	-1.75602432000001	0
239	0.91212	-1.72683904000001	0
240	0.9122	-1.69765120000001	0
241	0.91228	-1.66846080000001	0
242	0.91236	-1.63926784000001	0
243	0.91244	-1.61007232000001	0
244	0.91252	-1.58087424000001	0
245	0.9126	-1.55167360000001	0
246	0.91268	-1.52247040000001	0
247	0.91276	-1.49326464000001	0
248	0.91284	-1.46405632000001	0
249	0.91292	-1.43484544000001	0
250	0.913	-1.40563200000001	0
251	0.913086956521739	-1.37641600000001	0
252	0.913173913043478	-1.34719721739131	0
253	0.913260869565217	-1.31797565217392	0
254	0.913347826086957	-1.28875130434783	0
255	0.913434782608696	-1.25952417391305	0
256	0.913521739130435	-1.23029426086957	0
257	0.913608695652174	-1.2010615652174	0
258	0.913695652173913	-1.17182608695653	0
259	0.913782608695652	-1.14258782608696	0
260	0.913869565217391	-1.1133467826087	0
261	0.91395652173913	-1.08410295652174	0
262	0.91404347826087	-1.05485634782609	0
263	0.914130434782609	-1.02560695652174	0
264	0.914217391304348	-0.996354782608695	0
265	0.914304347826087	-0.967099826086956	0
266	0.914391304347826	-0.937842086956521	0
267	0.914478260869565	-0.908581565217391	0
268	0.914565217391304	-0.879318260869565	0
269	0.914652173913044	-0.850052173913043	0
270	0.914739130434783	-0.820783304347826	0
271	0.914826086956522	-0.791511652173913	0
272	0.914913043478261	-0.762237217391304	0
273	0.915	-0.73296	1.39628040057225
274	0.915	-0.70368	1.39628040057225
275	0.915	-0.6744	1.39628040057225
276	0.915	-0.64512	1.39628040057225
277	0.915	-0.61584	1.39628040057225
278	0.915	-0.58656	1.39628040057225
279	0.915	-0.55728	1.39628040057225
280	0.916	-0.528	1.39567660222836
281	0.916	-0.498688	1.39567660222836
282	0.916	-0.469376	1.39567660222836
283	0.916	-0.440064	1.39567660222836
284	0.916	-0.410752	1.39567660222836
285	0.916	-0.38144	1.39567660222836
286	0.916	-0.352128	1.39567660222836
287	0.916	-0.322816	1.39567660222836
288	0.917	-0.293504	1.39507464105734
289	0.917	-0.26416	1.39507464105734
